O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
2,Jadeja Pradhyumansinh Mahipatsinh,Bharatiya Janata Party,79298,897,80195,49.15,Gujarat-Abdasa -1,1.0
1,Jat Mamad Jung,Indian National Congress,70423,341,70764,43.37,Gujarat-Abdasa -1,2.0
10,Hakumatsinh Juvansinh Jadeja,Independent,3474,28,3502,2.15,Gujarat-Abdasa -1,3.0
11,Nota,None of the Above,2925,17,2942,1.8,Gujarat-Abdasa -1,4.0
7,Mamubhai Mandabhai Rabari,Independent,1722,13,1735,1.06,Gujarat-Abdasa -1,5.0
6,Vasantbhai Valji Khetani,Aam Aadmi Party,1606,98,1704,1.04,Gujarat-Abdasa -1,6.0
3,Meghwal Nagshi Khamubhai,Bahujan Samaj Party,1022,20,1042,0.64,Gujarat-Abdasa -1,7.0
8,Uthar Razak Alimamad,Independent,437,13,450,0.28,Gujarat-Abdasa -1,8.0
9,Bhanushali Suresh Manji Mange,Independent,337,0,337,0.21,Gujarat-Abdasa -1,9.0
4,K. D. Jadeja,Praja Vijay Paksh,299,5,304,0.19,Gujarat-Abdasa -1,10.0
5,Joshi Jagdishchandra Kakulal,Samajwadi Party,195,2,197,0.12,Gujarat-Abdasa -1,11.0
2,Chaitanya  Makarandbhai  Desai,Bharatiya Janata Party,112810,502,113312,68.76,Gujarat-Akota -143,1.0
1,Rutvij Dilipbhai Joshi,Indian National Congress,35369,190,35559,21.58,Gujarat-Akota -143,2.0
7,Shashank  Rajesh Khare,Aam Aadmi Party,9744,274,10018,6.08,Gujarat-Akota -143,3.0
12,Nota,None of the Above,2822,17,2839,1.72,Gujarat-Akota -143,4.0
8,Jatin Shah,Independent,915,6,921,0.56,Gujarat-Akota -143,5.0
3,Narendrabhai  Lalubhai Parmar,Akhil Bharat Hindu Mahasabha,426,3,429,0.26,Gujarat-Akota -143,6.0
4,Bharti Parmar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),341,2,343,0.21,Gujarat-Akota -143,7.0
5,Mukesh Shivprasad Nayak,Rashtriya Samaj Paksha,324,2,326,0.2,Gujarat-Akota -143,8.0
11,Dr. Rahul Vasudevbhai Vyas,Independent,291,0,291,0.18,Gujarat-Akota -143,9.0
6,Rajeshbhai  Bhikhabhai Mali,Gujarat Nav Nirman Sena,281,2,283,0.17,Gujarat-Akota -143,10.0
10,Deepak Harishchandra  Palkar,Independent,248,0,248,0.15,Gujarat-Akota -143,11.0
9,Dineshbhai  Vyas,Independent,225,0,225,0.14,Gujarat-Akota -143,12.0
4,Dr. Hasmukh Patel,Bharatiya Janata Party,93670,324,93994,58.98,Gujarat-Amraiwadi -50,1.0
1,Dharmendrabhai Shantilal Patel (Dhambhai),Indian National Congress,50392,330,50722,31.83,Gujarat-Amraiwadi -50,2.0
13,Vinay Nandlal Gupta,Aam Aadmi Party,7552,235,7787,4.89,Gujarat-Amraiwadi -50,3.0
3,Rathod Yalpeshkumar Pravinbhai,Bahujan Samaj Party,1519,10,1529,0.96,Gujarat-Amraiwadi -50,4.0
18,Nota,None of the Above,1203,21,1224,0.77,Gujarat-Amraiwadi -50,5.0
2,Parmar Rameshbhai Kishorbhai,Communist Party of India,687,0,687,0.43,Gujarat-Amraiwadi -50,6.0
17,Sanjaybhai Dahyabhai Patel,Independent,666,1,667,0.42,Gujarat-Amraiwadi -50,7.0
16,Solanki Vinodbhai Bodhabhai,Independent,629,1,630,0.4,Gujarat-Amraiwadi -50,8.0
