O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank,margin,Vidhan_Sabha
2,Virendrasinh Bahadursinh Jadeja,Bharatiya Janata Party,66589,372,66961,46.17,Gujarat-Rapar -6,1.0,577.0,Rapar 
2,Chudasama Vimalbhai Kanabhai,Indian National Congress,73536,283,73819,38.2,Gujarat-Somnath -90,1.0,922.0,Somnath 
1,Thakor Dineshbhai Ataji,Indian National Congress,85479,927,86406,46.43,Gujarat-Chanasma -17,1.0,1404.0,Chanasma 
2,Dr.Tushar Amarsinh Chaudhary,Indian National Congress,67050,299,67349,32.67,Gujarat-Khedbrahma -29,1.0,1664.0,Khedbrahma 
2,P.K.Parmar,Bharatiya Janata Party,75743,601,76344,45.56,Gujarat-Dasada -60,1.0,2179.0,Dasada 
1,Amit Chavda,Indian National Congress,81289,223,81512,48.71,Gujarat-Anklav -110,1.0,2729.0,Anklav 
6,Makwana Umeshbhai Naranbhai,Aam Aadmi Party,79524,1057,80581,43.04,Gujarat-Botad -107,1.0,2779.0,Botad 
3,Balvantsinh Chandansinh Rajput,Bharatiya Janata Party,90871,316,91187,48.19,Gujarat-Sidhpur -19,1.0,2814.0,Sidhpur 
1,Arvindbhai Jinabhai Ladani,Indian National Congress,64253,437,64690,42.14,Gujarat-Manavadar -85,1.0,3453.0,Manavadar 
1,Kaswala Mahesh,Bharatiya Janata Party,63447,310,63757,46.01,Gujarat-Savarkundla -97,1.0,3492.0,Savarkundla 
3,Bhabhor Shaileshbhai Sumanbhai,Bharatiya Janata Party,69067,350,69417,46.13,Gujarat-Limkheda -131,1.0,3663.0,Limkheda 
1,Chiragkumar Arvindbhai Patel,Indian National Congress,68642,427,69069,43.53,Gujarat-Khambhat -108,1.0,3711.0,Khambhat 
2,Sardarbhai Shamalbhai Chaudhary,Bharatiya Janata Party,55101,359,55460,36.3,Gujarat-Kheralu -20,1.0,3964.0,Kheralu 
1,Devabhai Punjabhai Malam,Bharatiya Janata Party,55407,395,55802,36.09,Gujarat-Keshod -88,1.0,4208.0,Keshod 
6,Sudhirbhai Vaghani (Sudhir Vaghani),Aam Aadmi Party,60463,481,60944,43.46,Gujarat-Gariadhar -101,1.0,4819.0,Gariadhar 
1,Jignesh Mevani,Indian National Congress,93848,917,94765,48.0,Gujarat-Vadgam -11,1.0,4928.0,Vadgam 
1,Amrutji Motiji Thakor,Indian National Congress,96137,487,96624,47.81,Gujarat-Kankrej -15,1.0,5295.0,Kankrej 
2,Pabubha Virambha Manek,Bharatiya Janata Party,73350,668,74018,41.08,Gujarat-Dwarka -82,1.0,5327.0,Dwarka 
1,Kaushikbhai Sukhlal Jain (Kaushik Jain),Bharatiya Janata Party,61090,400,61490,49.05,Gujarat-Dariapur -51,1.0,5485.0,Dariapur 
1,Thakor  Laxmanji Punjaji (Bakaji),Bharatiya Janata Party,85981,121,86102,49.41,Gujarat-Kalol -38,1.0,5733.0,Kalol 
9,Dhavalsinh Narendrasinh Zala,Independent,66759,319,67078,38.87,Gujarat-Bayad -32,1.0,5818.0,Bayad 
1,Chaitanyasinh Pratapsinh Zala,Bharatiya Janata Party,66052,174,66226,36.09,Gujarat-Padra -146,1.0,6178.0,Padra 
1,Kantibhai Kalabhai Kharadi,Indian National Congress,84691,443,85134,46.42,Gujarat-Danta -10,1.0,6327.0,Danta 
1,Dr. C. J. Chavda,Indian National Congress,77806,943,78749,49.52,Gujarat-Vijapur -26,1.0,7053.0,Vijapur 
4,Bhupendrabhai Gandubhai Bhayani,Aam Aadmi Party,65675,535,66210,45.18,Gujarat-Visavadar -87,1.0,7063.0,Visavadar 
1,Arjunbhai Devabhai Modhwadia,Indian National Congress,81395,661,82056,49.36,Gujarat-Porbandar -83,1.0,8181.0,Porbandar 
