O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name
1,JAT MAMAD JUNG,Indian National Congress,70423,341,70764,43.37,Gujarat-Abdasa -1
2,JADEJA PRADHYUMANSINH MAHIPATSINH,Bharatiya Janata Party,79298,897,80195,49.15,Gujarat-Abdasa -1
3,MEGHWAL NAGSHI KHAMUBHAI,Bahujan Samaj Party,1022,20,1042,0.64,Gujarat-Abdasa -1
4,K. D. JADEJA,Praja Vijay Paksh,299,5,304,0.19,Gujarat-Abdasa -1
5,JOSHI JAGDISHCHANDRA KAKULAL,Samajwadi Party,195,2,197,0.12,Gujarat-Abdasa -1
6,VASANTBHAI VALJI KHETANI,Aam Aadmi Party,1606,98,1704,1.04,Gujarat-Abdasa -1
7,MAMUBHAI MANDABHAI RABARI,Independent,1722,13,1735,1.06,Gujarat-Abdasa -1
8,UTHAR RAZAK ALIMAMAD,Independent,437,13,450,0.28,Gujarat-Abdasa -1
9,BHANUSHALI SURESH MANJI MANGE,Independent,337,0,337,0.21,Gujarat-Abdasa -1
10,HAKUMATSINH JUVANSINH JADEJA,Independent,3474,28,3502,2.15,Gujarat-Abdasa -1
11,NOTA,None of the Above,2925,17,2942,1.8,Gujarat-Abdasa -1
1,Aniruddha Bhailal Dave,Bharatiya Janata Party,89747,556,90303,53.3,Gujarat-Mandvi -2
2,Kishorbhai Dheda,Bahujan Samaj Party,1817,29,1846,1.09,Gujarat-Mandvi -2
3,Rajendrasinh A. Jadeja,Indian National Congress,41768,238,42006,24.79,Gujarat-Mandvi -2
4,Kailasdan K. Gadhvi,Aam Aadmi Party,22501,290,22791,13.45,Gujarat-Mandvi -2
5,Advocate Mahamadiqbal Manjaliya,All India Majlis-E-Ittehadul Muslimeen,8477,17,8494,5.01,Gujarat-Mandvi -2
6,Vachhiya Lakhmir Rabari,Praja Vijay Paksh,373,6,379,0.22,Gujarat-Mandvi -2
7,Sameja Abdulkarim Amad,Independent,660,3,663,0.39,Gujarat-Mandvi -2
8,Sangar  Shivji Budhiya,Independent,517,0,517,0.31,Gujarat-Mandvi -2
9,NOTA,None of the Above,2411,16,2427,1.43,Gujarat-Mandvi -2
1,ARJAN BHUDIA,Indian National Congress,36495,273,36768,20.4,Gujarat-Bhuj -3
2,KESHUBHAI SHIVDAS PATEL,Bharatiya Janata Party,95746,836,96582,53.59,Gujarat-Bhuj -3
3,SAIYAD JUSABSHA MAMADSHA,Bahujan Samaj Party,1032,11,1043,0.58,Gujarat-Bhuj -3
4,NODE KASAM MOHAMAD,Right to Recall Party,445,3,448,0.25,Gujarat-Bhuj -3
5,MEHULRAJ BHARATSINH RATHOD,Praja Vijay Paksh,435,4,439,0.24,Gujarat-Bhuj -3
6,RAJESH KESARA PINDORIA,Aam Aadmi Party,7840,220,8060,4.47,Gujarat-Bhuj -3
7,SAKIL MAHAMAD SAMA,All India Majlis-E-Ittehadul Muslimeen,31249,46,31295,17.36,Gujarat-Bhuj -3
8,OSMAN ISHABHAI KUMBHAR,Independent,541,4,545,0.3,Gujarat-Bhuj -3
9,THEBA HUSEN MAMAD,Independent,467,0,467,0.26,Gujarat-Bhuj -3
10,BHUPENDRA BABULAL JOSHI,Independent,1113,3,1116,0.62,Gujarat-Bhuj -3
11,NOTA,None of the Above,3425,37,3462,1.92,Gujarat-Bhuj -3
1,CHAVDA SUDHA BAKUL,Bahujan Samaj Party,2349,10,2359,1.35,Gujarat-Anjar -4
2,CHHANGA TRIKAM BIJAL,Bharatiya Janata Party,98606,470,99076,56.52,Gujarat-Anjar -4
3,DANGAR RAMESHBHAI SHAMJIBHAI,Indian National Congress,61084,283,61367,35.01,Gujarat-Anjar -4
4,ARJANBHAI CHANABHAI RABARI,Aam Aadmi Party,7220,115,7335,4.18,Gujarat-Anjar -4
5,KAKAL GANIBHAI ADAMBHAI,Gujarat Sarva Samaj Party,638,0,638,0.36,Gujarat-Anjar -4
6,ROSHANALI IBRAHIM SANDHANI,SOCIAL DEMOCRATIC PARTY OF INDIA,955,2,957,0.55,Gujarat-Anjar -4
7,RAMESH JAKHARABHAI KODECHA,Independent,1061,1,1062,0.61,Gujarat-Anjar -4
8,NOTA,None of the Above,2467,18,2485,1.42,Gujarat-Anjar -4
1,BHARATBHAI VELJIBHAI SOLANKI,Indian National Congress,45729,200,45929,30.28,Gujarat-Gandhidham -5
2,MALTI KISHOR MAHESHWARI,Bharatiya Janata Party,83382,378,83760,55.23,Gujarat-Gandhidham -5
3,MAURYA K. D.,Bahujan Samaj Party,1002,8,1010,0.67,Gujarat-Gandhidham -5
4,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,428,1,429,0.28,Gujarat-Gandhidham -5
